mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,id
gdb_777,c1(=O)[nH]nno1,10.15858,4.07493,2.90831,2.925,33.27,-0.2987,-0.059,0.2397,392.3951,0.038735,-353.321142,-353.31678,-353.315835,-353.348826,14.809,-686.090730204,-689.574032663,-693.128243639,-640.578129943,777
gdb_7770,CC1CC(O)CC=C1,3.25261,1.64299,1.16967,1.2592,76.72,-0.2404,0.0252,0.2656,1059.8362,0.178008,-349.026042,-349.01793,-349.016986,-349.058115,31.605,-1901.8436095471,-1914.528703982,-1925.791235514,-1768.47096416,777
gdb_7771,CC1CC=CC(C)C1,3.1989,1.61764,1.15574,0.2287,83.97,-0.2349,0.0303,0.2652,1115.5621,0.2015,-313.101561,-313.0932,-313.092256,-313.133821,32.799,-2085.565694567,-2099.8722722581,-2112.3207958,-1939.1954552631,777
gdb_7772,CC1CC=CC(C)O1,3.15422,1.8236,1.25099,0.9667,77.38,-0.2412,0.0239,0.2651,1027.8721,0.177153,-349.025453,-349.017297,-349.016353,-349.05758,31.467,-1901.4740067461,-1914.1314907851,-1925.394022317,-1768.135246845,777
gdb_7773,CC1CC=CC(O)C1,3.26123,1.62509,1.16239,1.7302,76.39,-0.2417,0.0165,0.2582,1064.4867,0.178135,-349.02598,-349.017908,-349.016964,-349.057997,31.543,-1901.8047039891,-1914.514898784,-1925.777430316,-1768.3969180981,777
gdb_7774,OC1CC=CC(O)C1,3.31598,1.65005,1.17633,2.3893,69.23,-0.2477,0.0115,0.2591,1009.2757,0.154644,-384.949873,-384.942061,-384.941117,-384.981687,30.333,-1717.7136436771,-1728.8092578151,-1738.885797337,-1597.293411559,777
gdb_7775,CC1=CCCC(O)C1,3.14822,1.65151,1.14121,1.3773,77.42,-0.2303,0.0316,0.2619,1077.0706,0.177866,-349.031259,-349.023038,-349.022094,-349.063427,31.781,-1905.117324,-1917.7340199541,-1928.996551486,-1771.804291968,777
gdb_7776,CC1CC(C)=CCO1,3.36944,1.66173,1.17199,1.2436,77.97,-0.2324,0.0297,0.262,1071.4471,0.177027,-349.026684,-349.018391,-349.017447,-349.058979,31.588,-1902.246470325,-1914.8179856311,-1926.080517163,-1769.0131319361,777
gdb_7777,CC1CCC=C(C)C1,3.07001,1.63904,1.1317,0.1754,84.68,-0.2251,0.0365,0.2616,1130.8333,0.201302,-313.106659,-313.098169,-313.097225,-313.139066,33.003,-2088.764735449,-2102.990364479,-2115.438888021,-1942.4867399681,777
gdb_7778,CC1CCN=C(C)O1,3.1431,1.87494,1.24431,1.9314,73.38,-0.2375,0.0347,0.2722,1012.412,0.165971,-365.099992,-365.091818,-365.090874,-365.132357,30.585,-1799.643728753,-1811.400737377,-1822.070272904,-1672.8316899611,777
gdb_7779,CC1CC(=N)OCO1,3.68625,1.75352,1.25508,2.2109,66.16,-0.2622,0.0163,0.2785,960.6181,0.143364,-401.019411,-401.011933,-401.010989,-401.051212,28.057,-1612.745193175,-1623.161215066,-1632.644758583,-1498.6941774071,777
gdb_77700,CC1C2(CC2)CC11CO1,2.96651,1.28538,1.06604,1.7494,82.87,-0.2549,0.0737,0.3286,1210.3007,0.181391,-387.047259,-387.03849,-387.037546,-387.080593,34.24,-2011.3094170521,-2024.4714183271,-2036.326318355,-1869.6009421091,777
gdb_77701,CC1C2(CC2)OC13CC3,2.91218,1.34705,1.10115,1.5471,83.36,-0.2133,0.0787,0.292,1196.9107,0.18078,-387.045546,-387.03668,-387.035736,-387.079025,34.75,-2010.2344941351,-2023.3356270371,-2035.190527065,-1868.6170079971,777
gdb_77702,CC1C2(CO2)CC11CO1,3.09359,1.29904,1.07582,0.6313,75.62,-0.2574,0.0573,0.3147,1162.5951,0.157223,-422.972187,-422.963589,-422.962645,-423.005631,32.697,-1827.8678285551,-1839.359400872,-1850.0283088901,-1699.343317702,777
gdb_77703,C1CC12CC3(C2O)CC3,3.03404,1.29178,1.08715,1.4331,83.59,-0.2483,0.0777,0.326,1199.6928,0.182237,-387.049633,-387.040953,-387.040009,-387.082802,34.426,-2012.799123418,-2026.0169729941,-2037.871873022,-1870.9871094901,777
gdb_77704,OC1C2(CC2)CC11CN1,3.05381,1.29975,1.09051,1.3635,79.9,-0.24,0.0687,0.3087,1174.1994,0.171119,-403.091496,-403.083001,-403.082057,-403.124452,33.466,-1890.4643613411,-1902.9091198291,-1914.171023852,-1754.8960619631,777
gdb_77705,OC1C2(CC2)CC11CO1,3.06234,1.3121,1.09654,0.8041,76.2,-0.2444,0.0548,0.2992,1152.4774,0.157878,-422.972094,-422.963475,-422.962531,-423.005259,33.08,-1827.8094702181,-1839.2878648461,-1849.956772864,-1699.1098843541,777
gdb_77706,C1CC12C(C3(O2)CC3)O,3.01899,1.35757,1.11918,0.4241,76.52,-0.2233,0.0747,0.298,1147.1442,0.157584,-422.971685,-422.963159,-422.962215,-423.004763,33.319,-1827.552819037,-1839.089572002,-1849.75848002,-1698.7986398901,777
gdb_77707,OC1C2(CN2)CC11CN1,3.14599,1.30582,1.09323,1.041,76.36,-0.2439,0.0533,0.2971,1149.0183,0.159873,-419.132634,-419.124294,-419.12335,-419.165582,32.518,-1767.674655239,-1779.3274973691,-1789.996405387,-1638.478709756,777
gdb_77708,OC1C2(CN2)CC11CO1,3.16278,1.30718,1.09076,0.9738,72.44,-0.2502,0.0451,0.2953,1132.7194,0.147009,-439.014434,-439.006174,-439.00523,-439.047292,31.861,-1705.774029934,-1716.58852004,-1726.664432053,-1583.259172774,777
gdb_77709,OC1C2(CO2)CC11CO1,3.20122,1.34244,1.12527,2.2522,68.63,-0.2492,0.0473,0.2965,1093.6137,0.134295,-458.897646,-458.889579,-458.888635,-458.930244,31.003,-1644.7594473371,-1654.806493936,-1664.289409944,-1528.8190019701,777
gdb_77710,CC1C23CC=CC12CO3,2.28906,1.97375,1.58547,1.6227,79.18,-0.2208,0.0092,0.2299,958.9689,0.160261,-385.840119,-385.832618,-385.831674,-385.871505,30.388,-1881.6698227061,-1893.8503999051,-1904.519307923,-1752.1099220031,777
gdb_77711,CC1C23CCC12C=CC3,2.67081,1.60577,1.49728,0.1754,87.08,-0.2117,0.022,0.2338,1034.2054,0.184289,-349.928173,-349.920395,-349.919451,-349.959765,31.998,-2073.2577330411,-2087.0422232441,-2098.897123272,-1930.7121610921,777
gdb_77712,CC1C23CCC12N=CO3,2.77182,1.7272,1.56851,1.4057,74.31,-0.2217,0.0104,0.2321,948.8079,0.148854,-401.907356,-401.900011,-401.899067,-401.938652,29.477,-1775.2574739951,-1786.6467623451,-1796.722674358,-1652.0184714491,777
gdb_77713,CC1C23COC12C=CC3,2.8397,1.62531,1.52322,1.8335,79.52,-0.2205,0.0082,0.2286,987.4346,0.160303,-385.841491,-385.83398,-385.833036,-385.872928,30.344,-1882.5307650541,-1894.7050671631,-1905.373975181,-1753.00286731,777
gdb_77714,OC1C23CC=CC12CO3,2.40301,1.97091,1.62544,2.4129,71.82,-0.2212,-0.0049,0.2163,904.5914,0.136558,-421.761337,-421.754111,-421.753167,-421.792484,29.167,-1695.9001758191,-1706.4755849961,-1715.958501004,-1579.305238565,777
gdb_77715,OC1C23CCC12C=CC3,2.76426,1.62067,1.5334,1.167,79.79,-0.2116,0.0181,0.2298,978.3274,0.160862,-385.8531,-385.845648,-385.844704,-385.88437,30.685,-1889.815517035,-1902.026842175,-1912.695750193,-1760.1828252881,777
gdb_77716,OC1C23CCC12N=CN3,2.86356,1.71085,1.59359,1.689,71.39,-0.2108,0.0219,0.2327,914.4229,0.137209,-417.95498,-417.947328,-417.946384,-417.986602,30.075,-1656.537791267,-1666.8452541011,-1676.328170109,-1539.880730622,777
gdb_77717,OC1C23CCC12N=CO3,2.85728,1.74774,1.60651,2.0785,67.01,-0.2243,0.0046,0.2289,894.0543,0.125308,-437.829544,-437.8225,-437.821556,-437.860549,28.223,-1590.0965108381,-1599.8969464,-1608.786866403,-1479.7898412731,777
gdb_77718,OC1C23COC12C=CC3,2.96486,1.63166,1.55448,2.0781,71.77,-0.2293,0.0,0.2293,932.6442,0.137089,-421.765041,-421.757993,-421.757048,-421.796041,28.751,-1698.2244691551,-1708.9115749341,-1718.393863433,-1581.537288078,777
gdb_77719,CC1C23CCC12CCC3,2.50077,1.55227,1.43718,0.3176,88.66,-0.2172,0.0851,0.3024,1095.8043,0.208353,-351.137876,-351.129776,-351.128832,-351.16976,33.486,-2204.5056329541,-2219.8651707471,-2232.906062785,-2048.7723318611,777
gdb_77720,CC1C23CCC12COC3,2.57995,1.59658,1.4495,1.497,81.53,-0.2285,0.0803,0.3088,1044.6732,0.184546,-387.057158,-387.049299,-387.048355,-387.088943,31.749,-2017.5211286431,-2031.2541631081,-2043.109063136,-1874.840642259,777
gdb_77721,CC1C23CCC12OCC3,2.56518,1.60623,1.47238,1.2868,81.28,-0.2085,0.0826,0.291,1044.2291,0.183972,-387.052218,-387.044234,-387.04329,-387.084147,32.18,-2014.421234183,-2028.0758300231,-2039.930730051,-1871.831109095,777
gdb_77722,CC1C23CCC12OCO3,2.74419,1.63716,1.50938,1.1605,73.89,-0.2231,0.0716,0.2948,990.0653,0.159413,-422.96934,-422.961549,-422.960605,-423.001166,30.842,-1826.0813104321,-1838.0792825121,-1848.74819053,-1696.5414900171,777
gdb_77723,CC1C23COC12CCC3,2.63878,1.57408,1.4627,1.7323,81.21,-0.2211,0.0678,0.2889,1047.4551,0.184331,-387.052812,-387.044947,-387.044003,-387.084585,31.914,-2014.7939745291,-2028.52324394,-2040.378143968,-1872.105958037,777
gdb_77724,CC1C23CCOC12CO3,2.20831,1.99758,1.56418,1.0566,73.83,-0.2244,0.0513,0.2757,964.3397,0.159668,-422.96324,-422.955446,-422.954502,-422.995193,30.639,-1822.2535055321,-1834.2495950851,-1844.918503103,-1692.79337876,777
gdb_77725,CC1C23COC12COC3,2.73013,1.61435,1.47358,1.2286,74.18,-0.2342,0.0508,0.285,997.9466,0.160507,-422.96966,-422.962035,-422.96109,-423.00134,30.177,-1826.282113312,-1838.384251886,-1849.0525323951,-1696.6506765831,777
gdb_77726,CN1C23CCC12COC3,2.65202,1.63783,1.50801,2.5029,78.72,-0.2262,0.0698,0.296,1007.4024,0.172242,-403.088523,-403.08072,-403.079776,-403.120294,31.11,-1888.598777084,-1901.4777718,-1912.739675823,-1752.286879541,777
gdb_77727,OC1C23CCC12CCC3,2.60296,1.55541,1.46836,1.4714,81.16,-0.2169,0.0728,0.2897,1040.8188,0.184702,-387.061777,-387.05392,-387.052976,-387.09345,32.31,-2020.4195927141,-2034.1538821971,-2046.008782225,-1877.668825322,777
gdb_77728,OC1C23CCC12COC3,2.68729,1.59975,1.48091,1.4904,74.13,-0.2278,0.0661,0.294,989.8756,0.160907,-422.980548,-422.972938,-422.971994,-423.012116,30.563,-1833.1144313041,-1845.225982513,-1855.894890531,-1703.4127135671,777
gdb_77729,OC1C23CCC12OCC3,2.74515,1.58427,1.49937,0.613,73.9,-0.2165,0.0664,0.2829,989.3941,0.160283,-422.976135,-422.968413,-422.967469,-423.00789,30.949,-1830.3452340871,-1842.3865042881,-1853.055412306,-1700.7608605331,777
gdb_77730,OC1C23CCC12OCO3,2.81203,1.65923,1.54187,1.3518,66.57,-0.2254,0.0609,0.2863,934.7419,0.13611,-458.892341,-458.884908,-458.883964,-458.923805,29.462,-1641.4305120921,-1651.875399397,-1661.358315405,-1524.7784715191,777
gdb_77731,OC1C23CCOC12CN3,2.32074,1.97246,1.61277,0.8994,70.28,-0.2179,0.0558,0.2738,924.042,0.1492,-439.012038,-439.004628,-439.003684,-439.043501,29.862,-1704.2705183701,-1715.618391126,-1725.694303139,-1580.8802861551,777
gdb_77732,OC1C23COC12CCC3,2.76001,1.57546,1.49216,2.1416,73.37,-0.2327,0.0507,0.2834,992.3926,0.160991,-422.97575,-422.968315,-422.967371,-423.007128,30.392,-1830.1036431221,-1842.3250084061,-1852.993916424,-1700.282698675,777
gdb_77733,OC1C23CCOC12CO3,2.31948,2.00932,1.61414,1.8819,66.33,-0.2265,0.0404,0.2669,905.33,0.136385,-458.885247,-458.877914,-458.87697,-458.916711,29.105,-1636.9789632461,-1647.486601451,-1656.969517459,-1520.326922673,777
gdb_77734,OC1C23COC12COC3,2.85862,1.61288,1.50126,1.3552,66.49,-0.2455,0.0358,0.2813,943.9816,0.137073,-458.891493,-458.884258,-458.883314,-458.92282,28.733,-1640.8983844601,-1651.467518547,-1660.950434555,-1524.160375154,777
gdb_77735,CC12C3CC=C(C13)C2O,2.33454,1.98921,1.36443,1.7578,82.55,-0.2124,-0.0338,0.1786,999.6879,0.159009,-385.796476,-385.788673,-385.787729,-385.828166,31.665,-1854.283447419,-1866.2745169001,-1876.943424918,-1724.9143094521,777
gdb_77736,CC12C3CN=C(C1O)N23,2.41795,2.11402,1.38908,2.4498,73.68,-0.2494,-0.0493,0.2001,948.0023,0.136382,-417.915106,-417.907724,-417.90678,-417.946564,29.292,-1631.516497401,-1641.993387665,-1651.4763036731,-1514.7565252801,777
gdb_77737,CC12C3N1CC=C3C2O,2.3166,2.11119,1.41866,1.9427,79.14,-0.2058,-0.0381,0.1677,961.5456,0.146573,-401.825888,-401.817867,-401.816923,-401.857905,31.426,-1724.1355707831,-1735.100663049,-1745.176575062,-1601.3490022261,777
gdb_77738,CC1C2=CCC3C2C13C,2.28707,1.96239,1.3497,1.0846,89.5,-0.2029,-0.0246,0.1783,1048.213,0.182096,-349.864989,-349.856754,-349.85581,-349.89704,33.265,-2033.609204385,-2047.1069229751,-2058.961823003,-1891.3516590671,777
gdb_77739,CC1C2=CCC3C2C13O,2.30729,1.99411,1.35848,1.709,82.02,-0.2071,-0.0297,0.1773,1002.2429,0.158611,-385.789266,-385.781404,-385.780459,-385.820928,32.028,-1849.7591075291,-1861.7131539791,-1872.381434488,-1720.3723993101,777
gdb_77740,CC1C2=CCN3C2C13C,2.2794,2.05141,1.38902,1.1863,85.53,-0.205,-0.0384,0.1666,1013.9503,0.17004,-365.89753,-365.889342,-365.888398,-365.929582,32.686,-1905.4248034101,-1918.0628346701,-1929.324738693,-1769.545259568,777
gdb_77741,OC1C2=CCC3C2C13O,2.36362,2.03103,1.38933,1.1858,75.38,-0.2075,-0.0301,0.1775,949.5138,0.135047,-421.717765,-421.709963,-421.709018,-421.749629,30.864,-1668.5583536711,-1678.7723176641,-1688.254606163,-1552.4133403701,777
gdb_77742,CC12C(O)C1C(=O)C2O,2.07451,1.5214,1.48941,4.0804,69.27,-0.2306,-0.0175,0.2131,1033.1102,0.134327,-458.948773,-458.940104,-458.93916,-458.981698,32.931,-1676.8420999801,-1686.5113861611,-1695.9943021691,-1561.106850056,777
gdb_77743,CC1C(=O)C2C(O)C12C,1.9793,1.51246,1.43515,3.0677,76.68,-0.2339,-0.0071,0.2268,1092.0671,0.156988,-423.021834,-423.012505,-423.011561,-423.055418,34.945,-1859.0217678781,-1870.054631116,-1880.723539134,-1730.585108285,777
